Vendor,Item ID,Title,Calories (est),Calories (raw),Confidence,Source
healthybee,hb-i1,Paneer Sprouts Salad,180,180.0,unknown,
healthybee,hb-i2,Quinoa & Roasted Veg Bowl,320,320.0,unknown,
swad gomantak,sg-i1,Grilled Fish Thali (light),380,380.0,unknown,
swad gomantak,sg-i2,Veg Pulao (light),260,260.0,unknown,
shree krishna veg,skv-i1,Moong Dal Chilla Wrap,160,160.0,unknown,
healthybee,51ef1dc9-0,Paneer Sprouts Salad,162,161.9514766924047,high,manual_review
healthybee,51ef1dc9-1,Spinach Paneer Bhurji Chapati Meal,294,293.59723095701713,high,manual_review
healthybee,51ef1dc9-2,Non-Veg High Protein Meal Box,240,239.75630196920707,high,manual_review
healthybee,51ef1dc9-3,Rajma Masala Brown Rice Meal Box,141,140.56576944219438,high,manual_review
healthybee,51ef1dc9-4,Protein Rich Chickpea Curry Brown Rice Meal Box,207,207.05693007371215,high,manual_review
healthybee,51ef1dc9-5,Chicken Tikka Wrap,153,153.27408260524118,high,manual_review
healthybee,51ef1dc9-6,Protein Rich Chickpea Wrap,219,218.87410614645069,high,manual_review
healthybee,51ef1dc9-7,Strawberry Banana Chia Smoothie,96,95.97577063508014,high,manual_review
healthybee,51ef1dc9-8,Protein Rich Chickpea Sandwich,208,207.64367751596825,high,manual_review
healthybee,51ef1dc9-9,Chicken Tikka Sandwich,149,148.94204847455933,high,manual_review
healthybee,51ef1dc9-10,Only Peri Peri Grilled Chicken [200 gm],254,253.55245421637443,high,manual_review
healthybee,51ef1dc9-11,Purple Rice,167,167.14108795095393,high,manual_review
healthybee,51ef1dc9-12,Quinoa Chicken Tabbouleh Salad,204,203.7442753732924,high,manual_review
healthybee,51ef1dc9-13,Quinoa Paneer Tabbouleh Salad,259,259.2241063004478,high,manual_review
healthybee,51ef1dc9-14,Paneer Burrito Bowl,249,249.2240597727543,high,manual_review
healthybee,51ef1dc9-15,Chicken Grilled Sandwich,198,198.47130501279185,high,manual_review
healthybee,51ef1dc9-16,Paneer Tikka Grilled Sandwich,226,226.24802560289905,high,manual_review
healthybee,51ef1dc9-17,Veg Grilled Sandwich,224,223.6415823631425,high,manual_review
healthybee,51ef1dc9-18,Punjabi Club Grilled Sandwich,213,213.30159263123895,high,manual_review
healthybee,51ef1dc9-19,Chicken Coleslaw Sandwich,159,159.32754482699448,high,manual_review
healthybee,51ef1dc9-20,Omelette Chicken Decker Sandwich,156,155.66971291968687,high,manual_review
healthybee,51ef1dc9-21,Veg Sandwich,196,195.59119032481533,high,manual_review
healthybee,51ef1dc9-22,Chicken Mayo Grilled Sandwich,198,198.47130501279185,high,manual_review
healthybee,51ef1dc9-23,Bite into the goodness of chicken and mayonnaise enveloped in multi-grain grilled sandwich.,198,198.47130501279185,high,manual_review
healthybee,51ef1dc9-24,Boiled Egg Sandwich,144,143.74070405982,high,manual_review
healthybee,51ef1dc9-25,Veg Coleslaw Sandwich,196,195.59119032481533,high,manual_review
healthybee,51ef1dc9-26,Cheese Chilli Grilled Sandwich,213,213.30159263123895,high,manual_review
healthybee,51ef1dc9-27,Paneer Peri Peri Salad,258,258.01999321236207,high,manual_review
healthybee,51ef1dc9-28,Peri - Peri Chicken Salad,211,210.69991239975803,high,manual_review
healthybee,51ef1dc9-29,Jamaican Jerk Chicken Salad,120,119.7039219703512,high,manual_review
healthybee,51ef1dc9-30,Basil Pesto Chicken Salad,120,119.7039219703512,high,manual_review
healthybee,51ef1dc9-31,Creamy Garlic Chicken Salad,120,119.7039219703512,high,manual_review
