vendor_id,vendor_name,source,source_index,source_vendor_name,item_id,title,description,price_cents,category,tags,calories,protein,fat,carbs,ingest_ts,calories_imputed,calories_confidence,calories_source,local_match_score,local_match_name
51ef1dc9,healthybee,vendor_menus.json,0,Healthybee,hb-i1,Paneer Sprouts Salad,"Cottage cheese, mixed sprouts, cucumber, tomato, light dressing.",259,,['high-protein' 'low-calorie' 'low-sodium'],180.0,12.0,8.0,10.0,2025-12-16T13:42:42.742658,,,,,
51ef1dc9,healthybee,vendor_menus.json,1,Healthybee,hb-i2,Quinoa & Roasted Veg Bowl,"Quinoa, seasonal roasted vegetables, seeds.",220,,['high-fiber' 'low-calorie' 'balanced-meal'],320.0,9.0,8.0,45.0,2025-12-16T13:42:42.742686,,,,,
3264c85c,swad gomantak,vendor_menus.json,0,Swad Gomantak,sg-i1,Grilled Fish Thali (light),"Grilled fish, brown rice, salad; minimal oil.",299,,['low-sodium' 'high-protein'],380.0,32.0,10.0,38.0,2025-12-16T13:42:42.742700,,,,,
3264c85c,swad gomantak,vendor_menus.json,1,Swad Gomantak,sg-i2,Veg Pulao (light),Mixed veg pulao with light seasoning.,150,,['light-clean' 'balanced-meal'],260.0,6.0,4.0,52.0,2025-12-16T13:42:42.742704,,,,,
991883c1,shree krishna veg,vendor_menus.json,0,Shree Krishna Veg,skv-i1,Moong Dal Chilla Wrap,Moong dal chilla stuffed with greens.,120,,['high-protein-snack' 'low-calorie'],160.0,11.0,4.0,18.0,2025-12-16T13:42:42.742712,,,,,
51ef1dc9,healthybee,partner_menus.json,0,Healthybee,51ef1dc9-0,Paneer Sprouts Salad,,259,,,265.0,,,,2025-12-16T13:42:42.742736,True,0.9,local_indian_nutrition,90.0,paneer
51ef1dc9,healthybee,partner_menus.json,1,Healthybee,51ef1dc9-1,Spinach Paneer Bhurji Chapati Meal,,294,,,297.0,,,,2025-12-16T13:42:42.742745,True,0.9,local_indian_nutrition,90.0,chapati
51ef1dc9,healthybee,partner_menus.json,2,Healthybee,51ef1dc9-2,Non-Veg High Protein Meal Box,,401,,,,,,,2025-12-16T13:42:42.742751,,,,,
51ef1dc9,healthybee,partner_menus.json,3,Healthybee,51ef1dc9-3,Rajma Masala Brown Rice Meal Box,,319,,,127.0,,,,2025-12-16T13:42:42.742756,True,0.9,local_indian_nutrition,90.0,rajma
51ef1dc9,healthybee,partner_menus.json,4,Healthybee,51ef1dc9-4,Protein Rich Chickpea Curry Brown Rice Meal Box,,314,,,130.0,,,,2025-12-16T13:42:42.742761,True,0.6,local_indian_nutrition,85.5,rice white cooked
51ef1dc9,healthybee,partner_menus.json,5,Healthybee,51ef1dc9-5,Chicken Tikka Wrap,,265,,,148.0,,,,2025-12-16T13:42:42.742765,True,0.9,local_indian_nutrition,95.0,chicken tikka
51ef1dc9,healthybee,partner_menus.json,6,Healthybee,51ef1dc9-6,Protein Rich Chickpea Wrap,,257,,,,,,,2025-12-16T13:42:42.742769,,,,,
51ef1dc9,healthybee,partner_menus.json,7,Healthybee,51ef1dc9-7,Strawberry Banana Chia Smoothie,,209,,,89.0,,,,2025-12-16T13:42:42.742774,True,0.9,local_indian_nutrition,90.0,banana
51ef1dc9,healthybee,partner_menus.json,8,Healthybee,51ef1dc9-8,Protein Rich Chickpea Sandwich,,200,,,,,,,2025-12-16T13:42:42.742778,,,,,
51ef1dc9,healthybee,partner_menus.json,9,Healthybee,51ef1dc9-9,Chicken Tikka Sandwich,,208,,,148.0,,,,2025-12-16T13:42:42.742782,True,0.9,local_indian_nutrition,90.0,chicken tikka
51ef1dc9,healthybee,partner_menus.json,10,Healthybee,51ef1dc9-10,Only Peri Peri Grilled Chicken [200 gm],,349,,,165.0,,,,2025-12-16T13:42:42.742786,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,11,Healthybee,51ef1dc9-11,Purple Rice,,169,,,130.0,,,,2025-12-16T13:42:42.742791,True,0.6,local_indian_nutrition,85.5,rice white cooked
51ef1dc9,healthybee,partner_menus.json,12,Healthybee,51ef1dc9-12,Quinoa Chicken Tabbouleh Salad,,349,,,165.0,,,,2025-12-16T13:42:42.742795,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,13,Healthybee,51ef1dc9-13,Quinoa Paneer Tabbouleh Salad,,319,,,265.0,,,,2025-12-16T13:42:42.742799,True,0.9,local_indian_nutrition,90.0,paneer
51ef1dc9,healthybee,partner_menus.json,14,Healthybee,51ef1dc9-14,Paneer Burrito Bowl,,319,,,265.0,,,,2025-12-16T13:42:42.742803,True,0.9,local_indian_nutrition,90.0,paneer
51ef1dc9,healthybee,partner_menus.json,15,Healthybee,51ef1dc9-15,Chicken Grilled Sandwich,,197,,,165.0,,,,2025-12-16T13:42:42.742808,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,16,Healthybee,51ef1dc9-16,Paneer Tikka Grilled Sandwich,,208,,,265.0,,,,2025-12-16T13:42:42.742812,True,0.9,local_indian_nutrition,90.0,paneer
51ef1dc9,healthybee,partner_menus.json,17,Healthybee,51ef1dc9-17,Veg Grilled Sandwich,,169,,,,,,,2025-12-16T13:42:42.742816,,,,,
51ef1dc9,healthybee,partner_menus.json,18,Healthybee,51ef1dc9-18,Punjabi Club Grilled Sandwich,,251,,,,,,,2025-12-16T13:42:42.742820,,,,,
51ef1dc9,healthybee,partner_menus.json,19,Healthybee,51ef1dc9-19,Chicken Coleslaw Sandwich,,192,,,165.0,,,,2025-12-16T13:42:42.742824,True,0.6,local_indian_nutrition,85.5,chicken curry
51ef1dc9,healthybee,partner_menus.json,20,Healthybee,51ef1dc9-20,Omelette Chicken Decker Sandwich,,299,,,154.0,,,,2025-12-16T13:42:42.742831,True,0.9,local_indian_nutrition,90.0,omelette
51ef1dc9,healthybee,partner_menus.json,21,Healthybee,51ef1dc9-21,Veg Sandwich,,136,,,,,,,2025-12-16T13:42:42.742835,,,,,
51ef1dc9,healthybee,partner_menus.json,22,Healthybee,51ef1dc9-22,Chicken Mayo Grilled Sandwich,,219,,,165.0,,,,2025-12-16T13:42:42.742839,True,0.6,local_indian_nutrition,85.5,chicken curry
