item_id,vendor_id,vendor_name,source,source_index,source_vendor_name,title,description,price_cents,category,tags,calories,protein,fat,carbs,ingest_ts,calories_imputed_model,calories_source,calories_confidence,model_pred_calories,model_calories_confidence
hb-i1,51ef1dc9,healthybee,vendor_menus.json,0,Healthybee,Paneer Sprouts Salad,"Cottage cheese, mixed sprouts, cucumber, tomato, light dressing.",259,,['high-protein' 'low-calorie' 'low-sodium'],180.0,12.0,8.0,10.0,2025-12-16T13:42:42.742658,,,,155.47906492932947,0.7
hb-i2,51ef1dc9,healthybee,vendor_menus.json,1,Healthybee,Quinoa & Roasted Veg Bowl,"Quinoa, seasonal roasted vegetables, seeds.",220,,['high-fiber' 'low-calorie' 'balanced-meal'],320.0,9.0,8.0,45.0,2025-12-16T13:42:42.742686,,,,304.12448293677625,0.7
sg-i1,3264c85c,swad gomantak,vendor_menus.json,0,Swad Gomantak,Grilled Fish Thali (light),"Grilled fish, brown rice, salad; minimal oil.",299,,['low-sodium' 'high-protein'],380.0,32.0,10.0,38.0,2025-12-16T13:42:42.742700,,,,325.66542613587256,0.7
sg-i2,3264c85c,swad gomantak,vendor_menus.json,1,Swad Gomantak,Veg Pulao (light),Mixed veg pulao with light seasoning.,150,,['light-clean' 'balanced-meal'],260.0,6.0,4.0,52.0,2025-12-16T13:42:42.742704,,,,252.34845595252102,0.7
skv-i1,991883c1,shree krishna veg,vendor_menus.json,0,Shree Krishna Veg,Moong Dal Chilla Wrap,Moong dal chilla stuffed with greens.,120,,['high-protein-snack' 'low-calorie'],160.0,11.0,4.0,18.0,2025-12-16T13:42:42.742712,,,,163.09963839134574,0.7
51ef1dc9-0,51ef1dc9,healthybee,partner_menus.json,0,Healthybee,Paneer Sprouts Salad,,259,,,161.9514766924047,,,,2025-12-16T13:42:42.742736,True,manual_review,1.0,148.3416540273115,0.7
51ef1dc9-1,51ef1dc9,healthybee,partner_menus.json,1,Healthybee,Spinach Paneer Bhurji Chapati Meal,,294,,,293.59723095701713,,,,2025-12-16T13:42:42.742745,True,manual_review,1.0,289.61415401650703,0.7
51ef1dc9-2,51ef1dc9,healthybee,partner_menus.json,2,Healthybee,Non-Veg High Protein Meal Box,,401,,,239.75630196920707,,,,2025-12-16T13:42:42.742751,True,manual_review,1.0,237.45780534676211,0.7
51ef1dc9-3,51ef1dc9,healthybee,partner_menus.json,3,Healthybee,Rajma Masala Brown Rice Meal Box,,319,,,140.56576944219438,,,,2025-12-16T13:42:42.742756,True,manual_review,1.0,150.67582010117647,0.7
51ef1dc9-4,51ef1dc9,healthybee,partner_menus.json,4,Healthybee,Protein Rich Chickpea Curry Brown Rice Meal Box,,314,,,207.05693007371215,,,,2025-12-16T13:42:42.742761,True,manual_review,1.0,208.07234834996595,0.7
51ef1dc9-5,51ef1dc9,healthybee,partner_menus.json,5,Healthybee,Chicken Tikka Wrap,,265,,,153.27408260524118,,,,2025-12-16T13:42:42.742765,True,manual_review,1.0,156.69893983843477,0.7
51ef1dc9-6,51ef1dc9,healthybee,partner_menus.json,6,Healthybee,Protein Rich Chickpea Wrap,,257,,,218.87410614645069,,,,2025-12-16T13:42:42.742769,True,manual_review,1.0,216.81131654073417,0.7
51ef1dc9-7,51ef1dc9,healthybee,partner_menus.json,7,Healthybee,Strawberry Banana Chia Smoothie,,209,,,95.97577063508014,,,,2025-12-16T13:42:42.742774,True,manual_review,1.0,102.13592542170501,0.7
51ef1dc9-8,51ef1dc9,healthybee,partner_menus.json,8,Healthybee,Protein Rich Chickpea Sandwich,,200,,,207.64367751596825,,,,2025-12-16T13:42:42.742778,True,manual_review,1.0,207.95700499615467,0.7
51ef1dc9-9,51ef1dc9,healthybee,partner_menus.json,9,Healthybee,Chicken Tikka Sandwich,,208,,,148.94204847455933,,,,2025-12-16T13:42:42.742782,True,manual_review,1.0,150.25358348225996,0.7
51ef1dc9-10,51ef1dc9,healthybee,partner_menus.json,10,Healthybee,Only Peri Peri Grilled Chicken [200 gm],,349,,,253.55245421637443,,,,2025-12-16T13:42:42.742786,True,manual_review,1.0,216.5290375465333,0.7
51ef1dc9-11,51ef1dc9,healthybee,partner_menus.json,11,Healthybee,Purple Rice,,169,,,167.14108795095393,,,,2025-12-16T13:42:42.742791,True,manual_review,1.0,168.7589650705628,0.7
51ef1dc9-12,51ef1dc9,healthybee,partner_menus.json,12,Healthybee,Quinoa Chicken Tabbouleh Salad,,349,,,203.7442753732924,,,,2025-12-16T13:42:42.742795,True,manual_review,1.0,202.85552450216778,0.7
51ef1dc9-13,51ef1dc9,healthybee,partner_menus.json,13,Healthybee,Quinoa Paneer Tabbouleh Salad,,319,,,259.2241063004478,,,,2025-12-16T13:42:42.742799,True,manual_review,1.0,253.97548150581665,0.7
51ef1dc9-14,51ef1dc9,healthybee,partner_menus.json,14,Healthybee,Paneer Burrito Bowl,,319,,,249.2240597727543,,,,2025-12-16T13:42:42.742803,True,manual_review,1.0,247.00097947934492,0.7
51ef1dc9-15,51ef1dc9,healthybee,partner_menus.json,15,Healthybee,Chicken Grilled Sandwich,,197,,,198.47130501279185,,,,2025-12-16T13:42:42.742808,True,manual_review,1.0,198.02902431333118,0.7
51ef1dc9-16,51ef1dc9,healthybee,partner_menus.json,16,Healthybee,Paneer Tikka Grilled Sandwich,,208,,,226.24802560289905,,,,2025-12-16T13:42:42.742812,True,manual_review,1.0,226.4493452662941,0.7
51ef1dc9-17,51ef1dc9,healthybee,partner_menus.json,17,Healthybee,Veg Grilled Sandwich,,169,,,223.6415823631425,,,,2025-12-16T13:42:42.742816,True,manual_review,1.0,217.72737589294337,0.7
51ef1dc9-18,51ef1dc9,healthybee,partner_menus.json,18,Healthybee,Punjabi Club Grilled Sandwich,,251,,,213.30159263123895,,,,2025-12-16T13:42:42.742820,True,manual_review,1.0,212.76805066805144,0.7
51ef1dc9-19,51ef1dc9,healthybee,partner_menus.json,19,Healthybee,Chicken Coleslaw Sandwich,,192,,,159.32754482699448,,,,2025-12-16T13:42:42.742824,True,manual_review,1.0,161.09577887305392,0.7
51ef1dc9-20,51ef1dc9,healthybee,partner_menus.json,20,Healthybee,Omelette Chicken Decker Sandwich,,299,,,155.66971291968687,,,,2025-12-16T13:42:42.742831,True,manual_review,1.0,166.95703482658385,0.7
